file,benchmark,testrun,energy,totaltime,current,voltage,teststarttime,testendtime
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/10__1.csv,10,1,1.0041901565789375,1.1000000000000014,0.2181561113069778,4.184618697478992,44.658000000003085,45.758000000003086
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/10__2.csv,10,2,1.2456301471200313,1.1199999999999974,0.2657385324155323,4.185203267681289,29.875,30.995
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/10__3.csv,10,3,0.8494823192719189,1.1499999999999986,0.1765008128019464,4.1851381073051375,31.59200000000419,32.74200000000419
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/10__4.csv,10,4,0.7543997759442463,1.0499999999999972,0.1716766484318353,4.185053608936414,45.99799999999959,47.04799999999959
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/10__5.csv,10,5,1.1806481964574744,1.0500000000000007,0.2686834575830841,4.184950066832156,30.92699999999604,31.976999999996043
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/10__6.csv,10,6,1.078343692562587,1.1400000000000006,0.226049728380979,4.184546146401549,36.84500000000117,37.985000000001165
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/10__7.csv,10,7,1.286884897733413,1.0499999999999972,0.2928777356346959,4.184697282816686,34.1339999999982,35.18399999999819
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/10__8.csv,10,8,1.2423780672084528,1.1299999999999957,0.2627433664711758,4.1845,32.32800000000134,33.458000000001334
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/10__9.csv,10,9,1.3986629313637746,1.1300000000000026,0.295774501885656,4.184792125844295,33.832000000002154,34.96200000000216
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/10__10.csv,10,10,0.9606891818228296,1.0799999999999983,0.2125768192502273,4.184496801409234,31.9429999999993,33.0229999999993
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/100__1.csv,100,1,1.083069979624785,1.0499999999999972,0.2464904254516793,4.184727324804277,48.32099999999628,49.37099999999627
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/100__2.csv,100,2,1.4829725397019706,1.1300000000000026,0.3136065034046851,4.184750842646798,29.580999999998312,30.710999999998315
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/100__3.csv,100,3,1.0837573393175874,1.0600000000000025,0.244351762272064,4.184183386913768,32.38499999999476,33.444999999994764
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/100__4.csv,100,4,0.8555063725760628,1.0499999999999972,0.1947026331387844,4.184678762414057,35.64799999999377,36.69799999999377
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/100__5.csv,100,5,1.3592267125515975,1.1600000000000037,0.279962725127557,4.185368482389503,39.04700000000594,40.20700000000594
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/100__6.csv,100,6,1.0646793946596456,1.0499999999999972,0.2422972240953529,4.184861711281071,32.72400000000198,33.774000000001976
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/100__7.csv,100,7,1.397467347250478,1.0799999999999983,0.3092139480249576,4.184647088913691,46.44600000000355,47.52600000000355
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/100__8.csv,100,8,1.0042626705976865,1.1500000000000057,0.20867688925502,4.184804031696273,40.50200000000041,41.65200000000041
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/100__9.csv,100,9,1.1667677623778132,1.1699999999999946,0.2383183913655978,4.184475222526532,43.80500000000029,44.975000000000286
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/100__10.csv,100,10,1.4723620121223997,1.1300000000000026,0.3113909495518482,4.18437091329069,32.18000000000029,33.310000000000294
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1000__1.csv,1000,1,2.7637647639610483,1.8999999999999984,0.3475812179341051,4.184958676160338,51.13300000000163,53.03300000000163
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1000__2.csv,1000,2,2.1946230074875155,1.8900000000000008,0.2774760812979643,4.184779419567063,31.30399999999645,33.19399999999645
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1000__3.csv,1000,3,2.080040000047105,1.8500000000000008,0.2686991833169274,4.184404031646255,31.298000000002503,33.148000000002504
/Users/greenali/Desktop/loopEnergy/Output/insert/insert_new/1000__4.csv,1000,4,2.329171745362706,1.9600000000000009,0.2839480841693328,4.185106354156018,43.93800000000192,45.89800000000192
