file,benchmark,testrun,energy,totaltime,current,voltage,teststarttime,testendtime
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//1000000__9.csv,1000000,10,182.1208977,43.44,1.001702352,4.18534509,42.944,86.384
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//10000000__1.csv,10000000,1,2021.499084,691.61,0.698403249,4.185101873,86.985,778.595
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//10000000__2.csv,10000000,2,2012.524846,526.03,0.914028239,4.185729164,62.768,588.798
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//10000000__3.csv,10000000,3,1937.829288,523.84,0.883848637,4.185419191,45.378,569.218
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//10000000__4.csv,10000000,4,1953.077906,540.84,0.862797769,4.185446063,50.062,590.902
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//10000000__5.csv,10000000,5,1934.797459,572.21,0.807877736,4.185375475,52.044,624.254
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//10000000__6.csv,10000000,6,1821.199698,527.09,0.825580131,4.185174404,53.805,580.895
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//10000000__7.csv,10000000,7,1673.781023,518.79,0.770963467,4.184785908,48.855,567.645
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//10000000__8.csv,10000000,8,1639.350116,515.57,0.759813182,4.184824536,41.381,556.951
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//10000000__9.csv,10000000,9,1639.672976,514.41,0.76168533,4.184776275,42.508,556.918
/Users/greenali/Desktop/loopEnergy/Output/read/read_new6//10000000__10.csv,10000000,10,1653.604453,512.22,0.771442742,4.18476817,42.028,554.248
